Password;Length;Has_Uppercase;Has_Special;Security_Score
RROka0wQ6;9;1;0;3
Qo3PfVwSRT;10;1;0;3
nyty5g;6;0;0;1
:62(A9Wx36NS]jv;15;1;1;5
px3wDkAoK;9;1;0;3
is1lm;5;0;0;1
9hVLPwh7dN;10;1;0;3
eh5yhPTcc;9;1;0;3
qtnzbi;6;0;0;1
8NswPxtE1K;10;1;0;3
VuFjwouvitq;11;1;0;3
cvo^wUGWg42%;12;1;1;5
fnhuZOtf2i;10;1;0;3
vFLPq1RbQ;9;1;0;3
ZCQycPrvi5;10;1;0;3
Y8bjiJ5RUiS;11;1;0;3
'6D8x>hU\!=>N_=8w{;18;1;1;5
"DEy;;[F6Z8JE";12;1;1;5
JpOhPlTQmjQ;11;1;0;3
Hdyv|r09W:yiF;13;1;1;5
";Dz(3Q*2ON#a#}Xi+";17;1;1;5
"\U/t(nU2]5NN;n";14;1;1;5
yrtGeog1Dd;10;1;0;3
evZ/zSHQAA%R;12;1;1;5
"IS@iT@P]5bU@""+.+t.";18;1;1;5
pCfe6wfkBTx;11;1;0;3
pSLhyLT34dA;11;1;0;3
g0zyu99;7;0;0;1
CT9L1ZZO7fc;11;1;0;3
y2c2;4;0;0;1
"U[F;X@rVSf|trA*E{5";18;1;1;5
Tc3sJX3XV9;10;1;0;3
7pEf5OOtAEh;11;1;0;3
j57o;4;0;0;1
80(]8!?:pq~o|2PPcL;18;1;1;5
"H""E#%pCP#Hy4R`Lr";16;1;1;5
qmc0;4;0;0;1
goCOhkQw;8;1;0;3
ekga8;5;0;0;1
KCTFGdJI;8;1;0;3
HLiojJJi;8;1;0;3
kmc385;6;0;0;1
c4trib;6;0;0;1
5v69gpQ0;8;1;0;3
xnw5jUzz;8;1;0;3
sDVgD1VLs0;10;1;0;3
d4t5tq;6;0;0;1
s5PYPNNxaqh;11;1;0;3
GyoJDXkOV;9;1;0;3
bKAcNWT4Co;10;1;0;3
rU1UVjc61Y;10;1;0;3
wu8TfyPEn;9;1;0;3
qrV2Fd7h;8;1;0;3
"Hi[Hz<km:;M41[a";15;1;1;5
eVULmZazC;9;1;0;3
aoo22b;6;0;0;1
uBNSvWdJ;8;1;0;3
U2b&yaP>v]j{ib;14;1;1;5
6RXYfvQEs;9;1;0;3
myYXLOu7Aj;10;1;0;3
I64fT1k5y1;10;1;0;3
p9mbl;5;0;0;1
ybf54;5;0;0;1
pwTpR=6X:+d:A@$;15;1;1;5
Fyc4LvsfMP;10;1;0;3
kqLB1bWi;8;1;0;3
g7wdibq;7;0;0;1
9o2,?gZ`uvK&gssW;16;1;1;5
7awWv5RCII;10;1;0;3
zkzxlv;6;0;0;1
"Qjvqr;YWdSG]Jm";14;1;1;5
eg3fy;5;0;0;1
CxSsZx8bvg;10;1;0;3
dKCPVOaLOv;10;1;0;3
iynqg;5;0;0;1
Yj0NxGSUQ;9;1;0;3
SdC:*o%bc.(XDm;14;1;1;5
XTx1vAbvD;9;1;0;3
"6""X;7-'cCq2X>(r";15;1;1;5
pjum;4;0;0;1
fvzz;4;0;0;1
6ypc;4;0;0;1
ulixzwm;7;0;0;1
fbGS3WExlG;10;1;0;3
BnWMtd\RdKUI@X1)q_;18;1;1;5
densKuSS;8;1;0;3
";ek$Wq+$^tYjZY9Q";16;1;1;5
Funqm0^iJW$u,\!v[;17;1;1;5
";l4|9Ve9|{H-Tw.EP#";18;1;1;5
zfnt9x;6;0;0;1
HTeHkDmoaI;10;1;0;3
jwdgf;5;0;0;1
18jpu;5;0;0;1
d8tzj;5;0;0;1
ppgkc0t;7;0;0;1
zplcx;5;0;0;1
jb0wxat;7;0;0;1
^i=U%yH^&EZ5aGOA|;17;1;1;5
}E{b1bU]Q4Xn8oMX;16;1;1;5
2s2NOJsd1kM;11;1;0;3
JFNg72on9;9;1;0;3
l2AGGLu8;8;1;0;3
iwai;4;0;0;1
Z7Jqryss;8;1;0;3
gf2ft04;7;0;0;1
"""JSzg/13Dd8[PvP";15;1;1;5
-NKHEOon@ANLk+/<``;18;1;1;5
"o=d%jy5!9'|:=J;M";16;1;1;5
yUCxUEk2;8;1;0;3
c|kvv|'m^=6v5z5W>u;18;1;1;5
"K%*?vB(\)p+M;VL";15;1;1;5
"0Nf;&,TI5g7F0:iTf";17;1;1;5
OogGLnAlof;10;1;0;3
42qqyd;6;0;0;1
V5ObpVTycz;10;1;0;3
LniSoiw2j;9;1;0;3
CC<~1Q6ph1AeU;13;1;1;5
umj92cb;7;0;0;1
bd7j04d;7;0;0;1
Z7elBb9i8j;10;1;0;3
VgDEHR9H;8;1;0;3
uJguKXq4DUG;11;1;0;3
J)yAm`ZJ]v%hLc+;15;1;1;5
"%@q\?NAV*z;t)ac";15;1;1;5
FyuMUqZMP;9;1;0;3
mssvdk;6;0;0;1
DeYSQFHEMs;10;1;0;3
ISOpON(Jhi+hZ;13;1;1;5
'+IFuwBPS)S/h;13;1;1;5
JDXfwtVi;8;1;0;3
a8ji;4;0;0;1
5lbPDj7woS;10;1;0;3
MeU97j6E;8;1;0;3
95id386;7;0;0;1
NNNnqbEn5U;10;1;0;3
u/VSzO8/?MvniO[wj;17;1;1;5
cHKnmtIT1;9;1;0;3
iUJJSxtu6Mv;11;1;0;3
mbq8;4;0;0;1
k0ds^)U~xVfQ,`nI&%;18;1;1;5
kcPrIq7Ep;9;1;0;3
fc3Lt9tql;9;1;0;3
cj324;5;0;0;1
QgcNjiIbJ;9;1;0;3
n51t;4;0;0;1
ras2am;6;0;0;1
pDza{?=hlL@&u6,;15;1;1;5
"WR7._N5{E|B;";12;1;1;5
32wl;4;0;0;1
KTRoqXiqcu;10;1;0;3
ryb611k3i;9;0;0;2
Yr5F@&BGo16(&a;14;1;1;5
gvvVcvIEPPC;11;1;0;3
a~=U,m[^_R!r%i;14;1;1;5
XU66DWJ448;10;1;0;3
w,fq<2}:=(V39L^ep;17;1;1;5
d66zur;6;0;0;1
QAwLRnIY;8;1;0;3
QKFZCGLYlF;10;1;0;3
Uy1jV5Vw;8;1;0;3
".0:RTj""f1buIhvvLNO";18;1;1;5
JgxTT8RDpQ;10;1;0;3
hbitkx;6;0;0;1
rjIibaxxnP;10;1;0;3
nKNcMe2TO6;10;1;0;3
hAKz7OAmW2H;11;1;0;3
XpKlWT1SBsR;11;1;0;3
mmzm5k;6;0;0;1
mPwOc6QIL7a;11;1;0;3
lbhz;4;0;0;1
i2os47j;7;0;0;1
qr8PZKk5;8;1;0;3
1TbqV4Nq;8;1;0;3
nvGHV7gVf;9;1;0;3
6epp5rw;7;0;0;1
Hv^\[xxnQE-/@;13;1;1;5
RiJmWytZ;8;1;0;3
DBeZdW8D7v6;11;1;0;3
OzYEAjE6z3;10;1;0;3
6oCciFByGuA;11;1;0;3
~aqMJTiT\]TZ9C!1(\;18;1;1;5
ISAkhnPm;8;1;0;3
lslyd3;6;0;0;1
775g9p;6;0;0;1
z5bypqy;7;0;0;1
8wIjs02nOgS;11;1;0;3
uO4LMXyOCo;10;1;0;3
gg1OL8aJo;9;1;0;3
evpttu;6;0;0;1
f3EnSXXUNK;10;1;0;3
eM7LlWIKT;9;1;0;3
rLX9dzwQ5o;10;1;0;3
"U=8J=$K\UJ""r.9;\<";17;1;1;5
"IkXu2<""1=8EK";12;1;1;5
Yt22Tsjr;8;1;0;3
GyoJ7CSCQY;10;1;0;3
0;18;1;1;5
IOcqme5xsUt;11;1;0;3
fkj83;5;0;0;1
z6tes;5;0;0;1
|&95i1pe=|&%z;13;0;1;4
MGWmXH22Z;9;1;0;3
"ImjSPA;q^({k~!FV/";17;1;1;5
K|4rp%}0ds4S*2U.;16;1;1;5
9saho46;7;0;0;1
eYc9ig23e;9;1;0;3
dw0l;4;0;0;1
~KZRV\!=Y*m*]?2r=v;18;1;1;5
lk246;5;0;0;1
k8njGnmE;8;1;0;3
X]*Hu|t,>4UO\y5RY;17;1;1;5
2ufxgtmGo;9;1;0;3
dp1h;4;0;0;1
aJO/sMWG$Aj5!V[$};17;1;1;5
xf/O3uqpyI!)_;13;1;1;5
9B9qfnPn;8;1;0;3
VkRqHR7U5if;11;1;0;3
b2tgz;5;0;0;1
ivdopj9;7;0;0;1
xMoF9iBz;8;1;0;3
As=(jvLS_GaP5qUs;16;1;1;5
pJjz39WGV;9;1;0;3
il2zFP0fD;9;1;0;3
jW]G.$ZjC>J>;12;1;1;5
aUFkWM7uOt;10;1;0;3
N][^0Zho]cvrCP2;15;1;1;5
8otDCbCA;8;1;0;3
gh8q;4;0;0;1
v1}]sYeUuo]E;12;1;1;5
wff6;4;0;0;1
"cX`*8FE%""iIJ";12;1;1;5
yzZWklFv;8;1;0;3
-PWg}$<D$?If1#&l;16;1;1;5
GaIgBVXXLT;10;1;0;3
3x7MIDqdu;9;1;0;3
z4ayvhdib;9;0;0;2
n104m;5;0;0;1
xpr7b4v;7;0;0;1
ThdVK6ZLy17;11;1;0;3
":ta2k7d+'fkK'1;w";16;1;1;5
"$d""Z""[pxRRN/WH/^";16;1;1;5
4838wJfJ;8;1;0;3
joR@rqQjUw>6?;13;1;1;5
tFZtdnbTSH;10;1;0;3
GtVSIQ4p;8;1;0;3
"(&~\U!M'""Jcy@";13;1;1;5
&Bk>r0&MA[nnn;13;1;1;5
".zy_a""*h*<&6<!y";15;0;1;4
qjA,!?3+&7\%o;13;1;1;5
3klxs3;6;0;0;1
AG0MqYDI7;9;1;0;3
O(gD*E-*.Br]I;13;1;1;5
hezrba;6;0;0;1
KwfjOEnR;8;1;0;3
"1&5;,x@NSRmDE~2]@";17;1;1;5
2hl0;4;0;0;1
u1xq8;5;0;0;1
F6z{/lsIbmca,);14;1;1;5
Dp3vB2FT;8;1;0;3
:\(a@{`K>,lNjXSzS;17;1;1;5
8odwd3;6;0;0;1
4x3CLgU9D88;11;1;0;3
k7ik;4;0;0;1
y4n5ziq;7;0;0;1
ecS598ThK;9;1;0;3
axeQWeVn;8;1;0;3
W93t71N0qe;10;1;0;3
CdOJA8mDzpH;11;1;0;3
ioTc4MRsy;9;1;0;3
0gJKm#D{daa6@!;14;1;1;5
btr7kx;6;0;0;1
a5ch7;5;0;0;1
ocik9x;6;0;0;1
gz5pd;5;0;0;1
E`L{(@w|ODUqa;13;1;1;5
L8e3#DtWP9P9iW;14;1;1;5
ZZkCg2ISK4W;11;1;0;3
jkTI9kJDS;9;1;0;3
w971XDxxuIx;11;1;0;3
4cQG2tw0;8;1;0;3
"EzoedWA=""V'(FA+!8";17;1;1;5
B4F1T9zj;8;1;0;3
l9i41;5;0;0;1
8l0gcu;6;0;0;1
cDzRiuSq;8;1;0;3
wCXb25nZjs;10;1;0;3
9yMOBEHHlqu;11;1;0;3
{D3|ApmR@bOUmNJi;16;1;1;5
5nVkxuJifmF;11;1;0;3
rmf9m5;6;0;0;1
i2rqfg;6;0;0;1
qfzm;4;0;0;1
1]vfh6T\1!Z<Nh#l[l;18;1;1;5
"\.U}a_-Yh""gA\p";14;1;1;5
1n7a7;5;0;0;1
G3k0ulkF;8;1;0;3
d8j9HnG7csR;11;1;0;3
jaamhm;6;0;0;1
0;13;1;1;5
JpJ}OmX%X~Q'G[oz{;17;1;1;5
bwebxd;6;0;0;1
0SrTVysj;8;1;0;3
"xy*$u;BPPf5)P";13;1;1;5
618v7;5;0;0;1
pm20zr6;7;0;0;1
tyti;4;0;0;1
"p;A(g6i3GNZG<RwQ";16;1;1;5
uhz94r4;7;0;0;1
NA75v@*ySr}1^s|~h;17;1;1;5
3ik9fg;6;0;0;1
acbyo;5;0;0;1
+?g#2q[#$yxK:W8PZ;17;1;1;5
fRQ3cfrtJ7;10;1;0;3
pzjvA460XNv;11;1;0;3
HBcmqsT21C;10;1;0;3
vg2zzq;6;0;0;1
"dakr*K!+o7""cr+P5";16;1;1;5
3suoDZY0cNy;11;1;0;3
3cml;4;0;0;1
Owi5Eh9qM;9;1;0;3
NIPWOzM6\e}:+ggI;16;1;1;5
ufnxxg;6;0;0;1
e44j2i;6;0;0;1
y3syqe;6;0;0;1
QV^1uP1Y:Ih%egQVzc;18;1;1;5
dm1hkh;6;0;0;1
rgku;4;0;0;1
vumkfUbI;8;1;0;3
"'L55HoesFqC^Tb;m+I";18;1;1;5
"mtEk_d~|,3*peLD4;B";18;1;1;5
bavH1WXbgT0;11;1;0;3
)sGqH.NF46Nm;12;1;1;5
"w\mJ2THVwoo""G";13;1;1;5
a126hHIPyik;11;1;0;3
AW5Acc%v@6X-u^kGg;17;1;1;5
"bp!mJe""|MTJRnUV=";16;1;1;5
7zrz;4;0;0;1
dVUOl5Tamo;10;1;0;3
SDp'aVowzn5=;12;1;1;5
myK``34:usNLFafMW;17;1;1;5
3ghgc92;7;0;0;1
kkbI80FbEq;10;1;0;3
crkln8;6;0;0;1
CmQOTBNSZV2;11;1;0;3
rm9CQtRhyU;10;1;0;3
m5rl;4;0;0;1
7tym;4;0;0;1
ifijooe;7;0;0;1
QxBFiEtgLt;10;1;0;3
znhspjw;7;0;0;1
umY7TyBWx;9;1;0;3
0tetflf;7;0;0;1
0;16;1;1;5
jniar;5;0;0;1
EO1CI7nfDL;10;1;0;3
3rk6;4;0;0;1
b8SF@{<h7V^jB;13;1;1;5
xnms;4;0;0;1
q8fzwYi1;8;1;0;3
kmcw;4;0;0;1
"""bo{CGB5WW%eA";13;1;1;5
:FY1Y(YjEI|NB/A;15;1;1;5
Muehra~2kk9ug;13;1;1;5
1weJPh0T;8;1;0;3
"f?v^bA_g""vPIXI3";15;1;1;5
dz5skw;6;0;0;1
B4VpZJLfSsZ;11;1;0;3
"lc<<Zwb;%^}l9#+_/";17;1;1;5
.j?hO1f+@uG*lX`+;16;1;1;5
dhFwvFNJN7;10;1;0;3
\ZwkV2t8\o/,1v;14;1;1;5
TOSIDkOCUu;10;1;0;3
0ZLIkSUM;8;1;0;3
cs2qycc;7;0;0;1
2xZjnc3wiD;10;1;0;3
ED/),nr\j,e+?9D;15;1;1;5
Q9HpFNq0ow;10;1;0;3
1nDrW1G8sq;10;1;0;3
TuRnFJ%H_?<*;12;1;1;5
+[dS:\gEJ,_<fz;14;1;1;5
F9YiF6r2D;9;1;0;3
MQBPt0Ir2;9;1;0;3
wmniy;5;0;0;1
a55z18o;7;0;0;1
XAelJKduKRd;11;1;0;3
b0om;4;0;0;1
0TiEqxAJv;9;1;0;3
9uo2k;5;0;0;1
G1GwC8RKm;9;1;0;3
pn9D5rrcJV;10;1;0;3
R/w9~S8xZs@NKkxk{';18;1;1;5
IgxPl0anUs;10;1;0;3
z_Rs$w)LFAF+^|;14;1;1;5
{MZKnkk!H)m0o.&`;16;1;1;5
#FRah+DbAiHzfHP]R;17;1;1;5
mZChyrxY;8;1;0;3
b3kkohy;7;0;0;1
t32zsn;6;0;0;1
54eo;4;0;0;1
U31MN.}x445c,S=`}};18;1;1;5
"h(}jHjRO;Y'sl5";14;1;1;5
"_|*=3r;5$p;i-Lf";15;1;1;5
odcsv9EdKgw;11;1;0;3
T2vJGSzcJ;9;1;0;3
wukr2;5;0;0;1
f7aSPbSR;8;1;0;3
m0r4kzt;7;0;0;1
M4A)(f-B+2NTuhNMF;17;1;1;5
yn5r;4;0;0;1
jjhZtsywXg;10;1;0;3
3PG4cTMSI;9;1;0;3
yILd6EQr6;9;1;0;3
6NtFycEg3;9;1;0;3
hrCqM9C4E5X;11;1;0;3
FnuoYICf8l;10;1;0;3
rJL(|GRS&+1x|XUAh;17;1;1;5
73ZmBVEEdJ;10;1;0;3
fp5by;5;0;0;1
)(~I\D1BQ\%CTq|i;16;1;1;5
1t5r;4;0;0;1
NEzr6135e1;10;1;0;3
gAeR2IrF9q;10;1;0;3
Gj14ou1xi;9;1;0;3
nFrX9YmxduJ;11;1;0;3
2st0;4;0;0;1
7qs9fea;7;0;0;1
K]Od`r6jT&30.9;14;1;1;5
iPyzpByS5R;10;1;0;3
Iwhfu9e0q;9;1;0;3
XTdCQg80LG3;11;1;0;3
5zlaa3;6;0;0;1
2mWH7OSyj;9;1;0;3
atw8it2;7;0;0;1
"[-ZW]GursCD"".";13;1;1;5
o>p/p<Ys3KOqFl#{R;17;1;1;5
45p8LM9QSx7;11;1;0;3
uruvKpOTi6m;11;1;0;3
nBoyutVX;8;1;0;3
h&[Pa8pV],5I4Ijq;16;1;1;5
"l|::A;47$q6L}BifX";17;1;1;5
p0m4vbn;7;0;0;1
"u}}bK/?L`]`;hC>";15;1;1;5
j6.Ss(lb@_(MV;13;1;1;5
9jjdal;6;0;0;1
6PMIgtkn;8;1;0;3
x2hx49By1;9;1;0;3
510wb;5;0;0;1
GCmwiTcR1s;10;1;0;3
MSvV80dLi;9;1;0;3
|gz~BtEWZ+C*oj{k;16;1;1;5
1XMb1np2$KOMX;13;1;1;5
xQbe5MJthe;10;1;0;3
V#%Nzk~{b^^x;12;1;1;5
e0x9xgx;7;0;0;1
t7w3;4;0;0;1
2EZVcGuzV;9;1;0;3
WlbkVMw5CS;10;1;0;3
11tdoaZQkC;10;1;0;3
#5-%&^TTBwi!_gS\;16;1;1;5
mz43;4;0;0;1
&5f!p1\Z^PfdqickZ&;18;1;1;5
ETPYXgEP;8;1;0;3
7py4Jyi0;8;1;0;3
tXE6252N;8;1;0;3
"<""RoH]5b*z}S%*";14;1;1;5
bLAXuFuEOBa;11;1;0;3
";537u-,[xZ%!$I;a";16;1;1;5
"eL;16>4$JrUX";12;1;1;5
3O5UaBeF;8;1;0;3
6ksuvfqS9;9;1;0;3
6xccock;7;0;0;1
azqjc2;6;0;0;1
NUw8SNEc0s;10;1;0;3
730yb;5;0;0;1
zpjk8;5;0;0;1
\0$7G43xafSn@,b;15;1;1;5
Czlm9M85;8;1;0;3
czyni2j;7;0;0;1
6b1g;4;0;0;1
05JPl2g5S;9;1;0;3
To~YLxda9/k$W!c;15;1;1;5
FKlg5xbIk0;10;1;0;3
AqeO3eyjkc;10;1;0;3
\k\G81q8'z/M8C;14;1;1;5
aaxf54;6;0;0;1
1d8i;4;0;0;1
k21tbbe;7;0;0;1
[AR]W`<cNku}:;13;1;1;5
&](jI!(y&/kD;12;1;1;5
kzvZm/yfEyr\=N!Uv;17;1;1;5
daNOUh0u;8;1;0;3
k7yWw5QgnU3,ik8C;16;1;1;5
"6,SZ!|[.MjE;eRC>";16;1;1;5
"7@""-Vq0]a}B#2fBD,";17;1;1;5
KcWUfNTzWTc;11;1;0;3
LBuENqGnT;9;1;0;3
bO7bxnl8Rv8;11;1;0;3
a5a4;4;0;0;1
I157xjFpXML;11;1;0;3
vk64lhi;7;0;0;1
<Y#YtpZG%MOKT;13;1;1;5
"'H1-u?d[Y1~8;Y$";15;1;1;5
~NpN+2'g\kQ[b);14;1;1;5
#8tJ.$[D~//NV;13;1;1;5
kmttu;5;0;0;1
fecyra;6;0;0;1
wtjTwWBF;8;1;0;3
A+P@8U1%usOs\S(;15;1;1;5
6ch3es9;7;0;0;1
qzdyfee;7;0;0;1
5ow2q4;6;0;0;1
0Tme3rkhm3;10;1;0;3
oo8p;4;0;0;1
Y0Qzb3g5Ega;11;1;0;3
CaqPFrf=u4<DeeMH;16;1;1;5
&HG|fv:!>3Bg(tO>;16;1;1;5
wkoVqVIJ;8;1;0;3
"93Gw<:"">0+Ro<v)RE*";18;1;1;5
03he;4;0;0;1
c5F|!e\8N|W(UJ;14;1;1;5
FJp1w5cb6;9;1;0;3
zvm9o;5;0;0;1
"h;`t!04Y3z0aR4%J";16;1;1;5
wlxgda;6;0;0;1
Q9d6S0QYeH;10;1;0;3
?F?RjBlyCgdUC~@DgA;18;1;1;5
jUH|uq>%9!z9/iR,P;17;1;1;5
qfU+S$zmxt5l*;13;1;1;5
idZ0vTu1;8;1;0;3
vw9qz6F5u;9;1;0;3
kbzj7d8;7;0;0;1
QdS24W6Qx;9;1;0;3
v7bbj7z;7;0;0;1
s6cu6HpkmY;10;1;0;3
"}>Uw8%/q-y'\%&;";15;1;1;5
iKSX6$Yl$N3mg}1;15;1;1;5
41rupavSDv;10;1;0;3
_{FJbqMklH&oWKEDU;17;1;1;5
ezWMr9v8;8;1;0;3
tzs3bq;6;0;0;1
CQnqlU3F0D4;11;1;0;3
AkP2aR'@7wIO{YI!;16;1;1;5
2b9yRji8;8;1;0;3
kYwA924C;8;1;0;3
gorgn;5;0;0;1
L6f97RDuM;9;1;0;3
iajj327;7;0;0;1
L:euS~TUxozoyT6;15;1;1;5
o2rg2;5;0;0;1
xj77xza;7;0;0;1
"[/]4cdYB`""B#;";13;1;1;5
T`ic]$m\&6FFH;13;1;1;5
spDLB9nnz;9;1;0;3
Hv.d-c{.2R0m11INCg;18;1;1;5
zg697z;6;0;0;1
)!Q!wu{JfR4cs@3fw;17;1;1;5
7odvt0r;7;0;0;1
c9ICRhb9oj;10;1;0;3
"@1?!a"":.ok\`@%";14;0;1;4
5HaraYlp;8;1;0;3
uso340;6;0;0;1
"@2T9(Q~hva;a6OZIk";17;1;1;5
n99i;4;0;0;1
lEObmP1wdvk;11;1;0;3
Fa)0NPs7$atM~eR';16;1;1;5
"0_HP1|R)GRKbnv[;=n";18;1;1;5
"S;Sn[je3*LePVGTY$Z";18;1;1;5
6uzV44VFVe;10;1;0;3
EGbJGGTBSfg;11;1;0;3
HKqgGRcci2q;11;1;0;3
tF9NSSzc3;9;1;0;3
Bmsb01oU;8;1;0;3
K0iC6WUTRk;10;1;0;3
rdG2cBmjzh;10;1;0;3
ucxtgng;7;0;0;1
"c""ElRvJ'BA@C";12;1;1;5
bZk5jkpEA;9;1;0;3
+jRL[7eT>AD:.KDQj;17;1;1;5
NHG7y07iu;9;1;0;3
t9ghfy;6;0;0;1
R1awkEVy;8;1;0;3
cMQsZaofoj;10;1;0;3
wytEuhR3zwI;11;1;0;3
slrswt;6;0;0;1
71x0we9;7;0;0;1
jQvnN2PRZv9;11;1;0;3
w5a4krg;7;0;0;1
3kx9t;5;0;0;1
S#@X:F>04`-yzmjb;16;1;1;5
NmAIjt3avXY;11;1;0;3
wi3JWKgi;8;1;0;3
FeukXm1p;8;1;0;3
WQCPUS5B9OO;11;1;0;3
bt6a503CUI3;11;1;0;3
f1B,$T4*t'E_;12;1;1;5
"UTIy#~xACo<;";12;1;1;5
fU:BYwqXj+7Z3EEN;16;1;1;5
ansJO5MW;8;1;0;3
aAa2cuhMd;9;1;0;3
spUq5FLp5mO;11;1;0;3
5(:MB,.#l^&U?4w8];17;1;1;5
"<]E1VTmV[vx9&WQfj""";18;1;1;5
BQy1B4A85C;10;1;0;3
RBTR7g9Z2;9;1;0;3
RNCkEoRT;8;1;0;3
l5xxwwn;7;0;0;1
rspl8;5;0;0;1
uwzaf;5;0;0;1
VVTzeBOcx;9;1;0;3
gFy,GUeZPTg>K4u%;16;1;1;5
giBJwsAdgdt;11;1;0;3
z45f9;5;0;0;1
G8xgiERI;8;1;0;3
hrDNtq2q;8;1;0;3
ca5JUBNL;8;1;0;3
)]O$su)>^=tW9#3B;16;1;1;5
HBCZVGbj7R;10;1;0;3
W$,M]?DqWh9J!;13;1;1;5
HeHMeYFAIO;10;1;0;3
CvfTNo}SW43PC;13;1;1;5
ielyh;5;0;0;1
af60D1e1;8;1;0;3
n24u;4;0;0;1
xeLrJXK3}>'e{_;14;1;1;5
16E?ys22{RR^npf,;16;1;1;5
o9gtz;5;0;0;1
09VdPAKe;8;1;0;3
Y8yLglPE;8;1;0;3
I8C5FS1h;8;1;0;3
"`3(I)86<YP;n";12;1;1;5
QvxnGzYBS9F;11;1;0;3
hLY7KN7Jpx;10;1;0;3
1lijm6Eu1Q;10;1;0;3
XV4tOjjVos;10;1;0;3
AQGxgNYSS7;10;1;0;3
e42z5gjPfR;10;1;0;3
E<XzT4:SY5!7z};14;1;1;5
<,[:lU=x@MxIO5L<+|;18;1;1;5
xq436;5;0;0;1
b7VBiA6s;8;1;0;3
lpybx6;6;0;0;1
Z81Zo07X;8;1;0;3
ayk64om;7;0;0;1
VUDbQhx53O;10;1;0;3
Y4ajHCPUmXd;11;1;0;3
F>!&FqY#zIghC2Z/Ax;18;1;1;5
cjo82;5;0;0;1
p8xP8kOI;8;1;0;3
y|u-|sTSxD<ELK;14;1;1;5
drhyL7zPAzn;11;1;0;3
2y2hvq;6;0;0;1
m20f6zk;7;0;0;1
Ud6JI3cN;8;1;0;3
w1yN_k[~,9,_Q<O|;16;1;1;5
YLifsCVP5CL;11;1;0;3
tk00d;5;0;0;1
mv3VwMVpzr;10;1;0;3
24z2y1;6;0;0;1
"&LDA[NAs_\;06?`";15;1;1;5
714p7h;6;0;0;1
"us85>%)g@^B`~""+";15;1;1;5
idgy096;7;0;0;1
^ks(rfH`!}Tb;12;1;1;5
esDNG5d7;8;1;0;3
raa-m%$MY&d8;12;1;1;5
}.<V|nAEc[F<\xG=V;17;1;1;5
uXjmlHPEW;9;1;0;3
gynDIYPXWXl;11;1;0;3
DxilAbcUx5l;11;1;0;3
rQ!MJN'<_LN%nq;14;1;1;5
6D2mYxPkR;9;1;0;3
FNlCrKnSB;9;1;0;3
q2:H4Z{w!I238>k;15;1;1;5
hog300g;7;0;0;1
6v4c;4;0;0;1
a50l9jr;7;0;0;1
kEGWjiyI8;9;1;0;3
o20m;4;0;0;1
ILBaVxu7cn;10;1;0;3
cpwq7HpnP;9;1;0;3
/P?mHtZANv#s;12;1;1;5
3wq35b;6;0;0;1
wnJiYo27;8;1;0;3
XCQZj3xxKLl;11;1;0;3
xC&Z~{3Rw84@D;13;1;1;5
v4EEGW3TMF;10;1;0;3
tq37rmTHw;9;1;0;3
ls522q;6;0;0;1
87jhk;5;0;0;1
`+!SUbd\A<tp;12;1;1;5
wn541x;6;0;0;1
lcv3qgu;7;0;0;1
33f9n;5;0;0;1
6f4t0;5;0;0;1
"V:8I7*5.""<Z?";12;1;1;5
vJ+^qFb8HOZh4cz;15;1;1;5
PMGaH1vZ;8;1;0;3
YAuZUH3Lxbq;11;1;0;3
hG5sJ3m0UY;10;1;0;3
SllTKWzmdi;10;1;0;3
93cw;4;0;0;1
0UN0CsadPLg;11;1;0;3
62LpeGmFJ2;10;1;0;3
qqv6jy4UugV;11;1;0;3
p19z8m;6;0;0;1
}Fb&uqYPl71!d)c;15;1;1;5
>l@)<r2F36bAIDl;15;1;1;5
xLzfwpef9Z;10;1;0;3
Z^erPIIf]T)ao;13;1;1;5
MCFBgVGJ;8;1;0;3
(_!k9enW#/<q8X;14;1;1;5
$F\%ytsd,02}';13;1;1;5
NZ9pfV9H;8;1;0;3
6txij;5;0;0;1
TExZBVrnNA8;11;1;0;3
n6h0;4;0;0;1
eao7;4;0;0;1
qw73y9;6;0;0;1
mx5qi02;7;0;0;1
pbTNBnsE1SM;11;1;0;3
x1rO9G5w;8;1;0;3
p2wz6;5;0;0;1
qFJjTu4mWV;10;1;0;3
CE9>%!]zu0>'_ny(};17;1;1;5
6eJMGcc0mso;11;1;0;3
jjsXqihB;8;1;0;3
"L/4h"",Hq9c47";12;1;1;5
ohpk16b;7;0;0;1
wp6OXFKR9CD;11;1;0;3
UUgXqehH;8;1;0;3
#_/ur7O/X5(T38;14;1;1;5
+=RHh2hH{^EwET,t;16;1;1;5
lgi5m;5;0;0;1
qyn3;4;0;0;1
k5@zS)jvrXIeTYv;15;1;1;5
tpoccc;6;0;0;1
uwx1j3;6;0;0;1
ia2duhs;7;0;0;1
6AlmLd79P;9;1;0;3
aLRrI75Nh4z;11;1;0;3
92dw;4;0;0;1
kM5Skq7FJ;9;1;0;3
44wxfi;6;0;0;1
byAUzrjP;8;1;0;3
52uf;4;0;0;1
afxnwt;6;0;0;1
DKY0LFmZzKK;11;1;0;3
"WQU|R""}QNSYx1I";14;1;1;5
3a6w;4;0;0;1
76em;4;0;0;1
"oC?*^BR""LN\UNc!b";16;1;1;5
i8opj;5;0;0;1
